OBJECTID,Shape,id_contrato,nombre_establecimiento,corregimiento,codigociiu,grupo_actividad,comuna,nombre_comuna,codigo_barrio,nombre_barrio,longitud,latitud,x_origen_nacional,y_origen_nacional
1,"(4717209.6725, 2251359.9559000023)",00000000000001808778,MONIK BELLEZA INTEGRAL,04,9602,03,12,00,0000,0000,-75.55673887,6.2686187,4717209.67253621,2251359.95589385
2,"(4713352.0796, 2248887.0945999995)",00000000000001808779,NO POSEE ESTABLECIMIENTOS, ,1410,01,11,00,0000,0000,-75.59148152,6.2460915,4713352.0795831,2248887.09461724
3,"(4710436.2309, 2249998.7957999986)",00000000000001808811,NO POSEE ESTABLECIMIENTOS, ,4719,02,13,San Javier,1309,San Javier No.1,-75.61787408,6.2560112,4710436.23092265,2249998.79579649
4,"(4715197.411400001, 2246060.634200001)",00000000000001808816,NO POSEE ESTABLECIMIENTOS, ,6201,03,14,El Poblado,1403,Villa Carlota,-75.57468533,6.2206203,4715197.41138235,2246060.63424287
5,"(4712710.769600001, 2247337.7101000026)",00000000000001808810,NO POSEE ESTABLECIMIENTOS, ,5619,03,16,Belén,1603,Belén,-75.59720633,6.2320557,4712710.7695664,2247337.7101089
6,"(4716132.263300002, 2249556.4689000025)",00000000000001808812,CONTINENTAL TECHNOLOGY AR, ,4741,02,10,La Candelaria,1019,La Candelaria,-75.56639358,6.2522663,4716132.26334632,2249556.46888227
7,"(4712255.014600002, 2244111.3675000016)",00000000000001808826,NO POSEE ESTABLECIMIENTOS, ,8299,03,16,Belén,1609,La Hondonada,-75.60118024,6.2028677,4712255.01463467,2244111.36754505
8,"(4718822.2424, 2249724.997200001)",00000000000001808817,NO POSEE ESTABLECIMIENTOS, ,2023,01,08,Villa Hermosa,0806,Llanaditas,-75.54209769,6.2539081,4718822.24241151,2249724.99723224
9,"(4711222.4373, 2248660.020800004)",00000000000001808828,NO POSEE ESTABLECIMIENTOS, ,8730,03,12,La América,1212,Santa Teresita,-75.61071116,6.2439435,4711222.43729667,2248660.02082843
10,"(4716180.448300001, 2244949.9141000025)",00000000000001808856,NO POSEE ESTABLECIMIENTOS, ,7410,03,14,El Poblado,1418,El Poblado,-75.56575581,6.2106218,4716180.44834729,2244949.91410183
11,"(4715323.007, 2242694.4262000006)",00000000000001808857,NO POSEE ESTABLECIMIENTOS, ,4923,03,14,El Poblado,1414,El Castillo,-75.57340295,6.190193,4715323.00700445,2242694.42616974
12,"(4716137.577900001, 2246054.4680000003)",00000000000001808858,NO POSEE ESTABLECIMIENTOS, ,8230,02,14,00,0000,0000,-75.56619152,6.2206059,4716137.57793544,2246054.46799913
13,"(4716898.0581, 2248835.960599998)",00000000000001808403,NO POSEE ESTABLECIMIENTOS, ,6810,02,10,00,0000,0000,-75.5594432,6.2457861,4716898.05807834,2248835.9606042
14,"(4717110.125699999, 2251390.0074000023)",00000000000001808414,DROGUERIA EL GRAN MILENIO, ,4773,02,03,Aranjuez,0409,Manrique Central No. 1,-75.5576396,6.268886,4717110.12565634,2251390.00738521
15,"(4718480.071, 2247718.9601000007)",00000000000001808423,NO POSEE ESTABLECIMIENTOS, ,5630,02,09,00,0000,0000,-75.54510152,6.2357568,4718480.0710076,2247718.96008457
16,"(4715838.967400001, 2241684.0332999974)",00000000000001808424,NO POSEE ESTABLECIMIENTOS, ,6810,02,14,El Poblado,1413,El Diamante No. 2,-75.56869787,6.1810809,4715838.96744901,2241684.03327775
17,"(4715987.962600001, 2250203.958900001)",00000000000001808426,FRIOELECTRIC AM, ,4752,02,10,La Candelaria,1003,Jesús Nazareno,-75.56772587,6.2581137,4715987.96258945,2250203.95891002
18,"(4716001.075600001, 2249597.8363000005)",00000000000001808415,NO POSEE ESTABLECIMIENTOS, ,5611,03,10,La Candelaria,1019,La Candelaria,-75.56758064,6.2526345,4716001.0756078,2249597.83629698
19,"(4713502.004900002, 2251271.7205)",00000000000001808427,NO POSEE ESTABLECIMIENTOS, ,4759,02,07,Robledo,0703,San Germán,-75.59023326,6.2676565,4713502.00486651,2251271.72046241
20,"(4708707.799, 2246154.9924000036)",00000000000001808428,NO POSEE ESTABLECIMIENTOS, ,4111,03,70,Corregimiento de Altavista,7084,Buga Patio Bonito,-75.63331567,6.2211842,4708707.79902264,2246154.99240392
21,"(4711680.376500002, 2247310.8035000004)",00000000000001808429,VAPOR SOUL S.A.S., ,4719,02,16,Belén,1615,Los Alpes,-75.60651375,6.2317665,4711680.37652532,2247310.80352515
22,"(4713707.1235, 2250554.5021)",00000000000001808430,NO POSEE ESTABLECIMIENTOS, ,1410,01,11,Laureles Estadio,1115,Cuarta Brigada,-75.5883481,6.2611816,4713707.12352588,2250554.50209216
